	sample_acc	n_reads	n_classified_reads	source	source_class	n_bacterial_reads	species	n_origin_reads	sample_loc	project
120	SRS012969	59626763	3482508	feces	Human feces	3396558	Providencia rettgeri	0	Unknown	Human Microbiome Project
121	SRS012969	59626763	3482508	feces	Human feces	3396558	Providencia stuartii	0	Unknown	Human Microbiome Project
122	SRS012969	59626763	3482508	feces	Human feces	3396558	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
123	SRS012969	59626763	3482508	feces	Human feces	3396558	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
124	SRS012969	59626763	3482508	feces	Human feces	3396558	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
125	SRS012969	59626763	3482508	feces	Human feces	3396558	Aeromonas media	0	Unknown	Human Microbiome Project
126	SRS013098	84658906	6960120	feces	Human feces	6727987	Morganella morganii	0	Unknown	Human Microbiome Project
127	SRS013098	84658906	6960120	feces	Human feces	6727987	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
128	SRS013098	84658906	6960120	feces	Human feces	6727987	Proteus terrae	0	Unknown	Human Microbiome Project
129	SRS013098	84658906	6960120	feces	Human feces	6727987	Providencia rettgeri	0	Unknown	Human Microbiome Project
130	SRS013098	84658906	6960120	feces	Human feces	6727987	Providencia stuartii	0	Unknown	Human Microbiome Project
131	SRS013098	84658906	6960120	feces	Human feces	6727987	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
132	SRS013098	84658906	6960120	feces	Human feces	6727987	Atlantibacter hermannii	2	Unknown	Human Microbiome Project
133	SRS013098	84658906	6960120	feces	Human feces	6727987	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
134	SRS013098	84658906	6960120	feces	Human feces	6727987	Aeromonas media	0	Unknown	Human Microbiome Project
135	SRS013158	55463878	11171262	feces	Human feces	10862297	Morganella morganii	3	Unknown	Human Microbiome Project
136	SRS013158	55463878	11171262	feces	Human feces	10862297	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
137	SRS013158	55463878	11171262	feces	Human feces	10862297	Proteus terrae	1	Unknown	Human Microbiome Project
138	SRS013158	55463878	11171262	feces	Human feces	10862297	Providencia rettgeri	0	Unknown	Human Microbiome Project
139	SRS013158	55463878	11171262	feces	Human feces	10862297	Providencia stuartii	0	Unknown	Human Microbiome Project
140	SRS013158	55463878	11171262	feces	Human feces	10862297	Kluyvera cryocrescens	2	Unknown	Human Microbiome Project
141	SRS013158	55463878	11171262	feces	Human feces	10862297	Atlantibacter hermannii	1	Unknown	Human Microbiome Project
142	SRS013158	55463878	11171262	feces	Human feces	10862297	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
143	SRS013158	55463878	11171262	feces	Human feces	10862297	Aeromonas media	0	Unknown	Human Microbiome Project
144	SRS013215	50233735	10956020	feces	Human feces	10880651	Morganella morganii	0	Unknown	Human Microbiome Project
145	SRS013215	50233735	10956020	feces	Human feces	10880651	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
146	SRS013215	50233735	10956020	feces	Human feces	10880651	Proteus terrae	0	Unknown	Human Microbiome Project
147	SRS013215	50233735	10956020	feces	Human feces	10880651	Providencia rettgeri	0	Unknown	Human Microbiome Project
148	SRS013215	50233735	10956020	feces	Human feces	10880651	Providencia stuartii	0	Unknown	Human Microbiome Project
149	SRS013215	50233735	10956020	feces	Human feces	10880651	Kluyvera cryocrescens	1	Unknown	Human Microbiome Project
150	SRS013215	50233735	10956020	feces	Human feces	10880651	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
151	SRS013215	50233735	10956020	feces	Human feces	10880651	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
152	SRS013215	50233735	10956020	feces	Human feces	10880651	Aeromonas media	1	Unknown	Human Microbiome Project
153	SRS013382	5502020	497639	feces	Human feces	478148	Morganella morganii	0	Unknown	Human Microbiome Project
154	SRS013382	5502020	497639	feces	Human feces	478148	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
155	SRS013382	5502020	497639	feces	Human feces	478148	Proteus terrae	0	Unknown	Human Microbiome Project
156	SRS013382	5502020	497639	feces	Human feces	478148	Providencia rettgeri	0	Unknown	Human Microbiome Project
157	SRS013382	5502020	497639	feces	Human feces	478148	Providencia stuartii	0	Unknown	Human Microbiome Project
158	SRS013382	5502020	497639	feces	Human feces	478148	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
159	SRS013382	5502020	497639	feces	Human feces	478148	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
160	SRS013382	5502020	497639	feces	Human feces	478148	Citrobacter amalonaticus	0	Unknown	Human Microbiome Project
161	SRS013382	5502020	497639	feces	Human feces	478148	Aeromonas media	0	Unknown	Human Microbiome Project
162	SRS013476	44918049	5053570	feces	Human feces	4904073	Morganella morganii	1	Unknown	Human Microbiome Project
163	SRS013476	44918049	5053570	feces	Human feces	4904073	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
164	SRS013476	44918049	5053570	feces	Human feces	4904073	Proteus terrae	0	Unknown	Human Microbiome Project
165	SRS013476	44918049	5053570	feces	Human feces	4904073	Providencia rettgeri	0	Unknown	Human Microbiome Project
166	SRS013476	44918049	5053570	feces	Human feces	4904073	Providencia stuartii	0	Unknown	Human Microbiome Project
167	SRS013476	44918049	5053570	feces	Human feces	4904073	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
168	SRS013476	44918049	5053570	feces	Human feces	4904073	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
169	SRS013476	44918049	5053570	feces	Human feces	4904073	Citrobacter amalonaticus	1	Unknown	Human Microbiome Project
170	SRS013476	44918049	5053570	feces	Human feces	4904073	Aeromonas media	0	Unknown	Human Microbiome Project
171	SRS013521	57421120	6948457	feces	Human feces	6780359	Morganella morganii	1	Unknown	Human Microbiome Project
172	SRS013521	57421120	6948457	feces	Human feces	6780359	Pseudochrobactrum asaccharolyticum	0	Unknown	Human Microbiome Project
173	SRS013521	57421120	6948457	feces	Human feces	6780359	Proteus terrae	0	Unknown	Human Microbiome Project
174	SRS013521	57421120	6948457	feces	Human feces	6780359	Providencia rettgeri	0	Unknown	Human Microbiome Project
175	SRS013521	57421120	6948457	feces	Human feces	6780359	Providencia stuartii	1	Unknown	Human Microbiome Project
176	SRS013521	57421120	6948457	feces	Human feces	6780359	Kluyvera cryocrescens	0	Unknown	Human Microbiome Project
177	SRS013521	57421120	6948457	feces	Human feces	6780359	Atlantibacter hermannii	0	Unknown	Human Microbiome Project
